Layer Execution Times (seconds):
Convolution Layer 1: 0.153293
Pooling Layer 1:     0.003802
Convolution Layer 2: 0.601233
Pooling Layer 2:     0.003661
Convolution Layer 3: 0.229998
Convolution Layer 4: 0.338314
Convolution Layer 5: 0.239328
Pooling Layer 3:     0.000495
Fully Connected 6:   0.022650
Fully Connected 7:   0.009698
Fully Connected 8:   0.002404
Total Execution Time: 1.610318
